School_Name,Latitude,Longitude,IDP_Students_Added,Conflict_Risk_Score,Action_Recommendation,Last_Conflict_Event,Total_Schools,Total_Students,Student_Teacher_Ratio
Locality: Abassiya,12.23446411,31.27196462,26695,Low,CRITICAL: Capacity Overload (26695 IDPs). Build Temp Classrooms.,"0 events, 0 deaths",70,14,0.0
Locality: Abu Hamad,20.15350342,33.21958583,160,Low,PRIORITY: Infrastructure Rehabilitation Needed.,"0 events, 0 deaths",92,16645,18.1
Locality: Abu Hujar,12.66913569,33.87876421,41,Low,PRIORITY: Infrastructure Rehabilitation Needed.,"0 events, 0 deaths",76,26607,35.1
Locality: Abu Jabrah,10.95039662,26.86880251,693,Low,PRIORITY: Infrastructure Rehabilitation Needed.,"0 events, 0 deaths",30,6142,40.1
Locality: Abu Jubayhah,11.00225303,31.87498947,7956,Low,PRIORITY: Infrastructure Rehabilitation Needed.,"0 events, 0 deaths",91,25559,41.3
Locality: Abu Karinka,11.57914993,26.55155487,207,Low,PRIORITY: Infrastructure Rehabilitation Needed.,"0 events, 0 deaths",26,8131,32.3
Locality: Abu Kershola,11.98950039,30.76776196,3849,Low,PRIORITY: Infrastructure Rehabilitation Needed.,"0 events, 0 deaths",50,13895,33.2
Locality: Abu Zabad,12.64563046,29.24488426,150,Low,PRIORITY: Infrastructure Rehabilitation Needed.,"0 events, 0 deaths",91,24216,34.6
Locality: Abyei,10.83813199,27.62159136,130,Low,PRIORITY: Infrastructure Rehabilitation Needed.,"0 events, 0 deaths",56,15292,34.8
Locality: Abyei PCA area,9.76237449,28.41709322,0,Low,Maintain Support,"0 events, 0 deaths",0,0,N/A
Locality: Ad Dabbah,17.53417319,30.83792189,39748,Low,CRITICAL: Capacity Overload (39748 IDPs). Build Temp Classrooms.,"0 events, 0 deaths",89,24711,19.9
Locality: Ad Dali,12.53070086,33.35936185,352,Low,PRIORITY: Infrastructure Rehabilitation Needed.,"0 events, 0 deaths",43,14156,40.7
Locality: Ad Damar,17.10827759,33.94247331,25,Low,PRIORITY: Infrastructure Rehabilitation Needed.,"0 events, 0 deaths",190,54863,24.9
Locality: Ad Dinder,12.6965781,35.01181176,313,Low,PRIORITY: Infrastructure Rehabilitation Needed.,"0 events, 0 deaths",116,37861,40.5
Locality: Ad Diwaim,13.9440541,31.99927378,350,Low,PRIORITY: Infrastructure Rehabilitation Needed.,"0 events, 0 deaths",219,69406,28.8
Locality: Ad Du'ayn,11.41051417,26.19331327,69751,Low,CRITICAL: Capacity Overload (69751 IDPs). Build Temp Classrooms.,"0 events, 0 deaths",122,35940,33.6
Locality: Adila,11.42749882,26.98732395,4472,Low,PRIORITY: Infrastructure Rehabilitation Needed.,"0 events, 0 deaths",35,10732,33.1
