Locality,State,Latitude,Longitude,IDP_Students_Added,Conflict_Risk_Score,Conflict_Events,Conflict_Deaths
Abassiya,South Kordofan,12.23446411,31.27196462,26695,0,0,0
Abu Hamad,River Nile,20.15350342,33.21958583,160,0,0,0
Abu Hujar,Sennar,12.66913569,33.87876421,41,0,0,0
Abu Jabrah,East Darfur,10.95039662,26.86880251,693,0,0,0
Abu Jubayhah,South Kordofan,11.00225303,31.87498947,7956,0,0,0
Abu Karinka,East Darfur,11.57914993,26.55155487,207,0,0,0
Abu Kershola,South Kordofan,11.98950039,30.76776196,3849,0,0,0
Abu Zabad,West Kordofan,12.64563046,29.24488426,150,0,0,0
Abyei,West Kordofan,10.83813199,27.62159136,130,0,0,0
Abyei PCA area,Abyei PCA,9.76237449,28.41709322,0,0,0,0
Ad Dabbah,Northern,17.53417319,30.83792189,39748,0,0,0
Ad Dali,Sennar,12.53070086,33.35936185,352,0,0,0
Ad Damar,River Nile,17.10827759,33.94247331,25,0,0,0
Ad Dinder,Sennar,12.6965781,35.01181176,313,0,0,0
Ad Diwaim,White Nile,13.9440541,31.99927378,350,0,0,0
Ad Du'ayn,East Darfur,11.41051417,26.19331327,69751,0,0,0
Adila,East Darfur,11.42749882,26.98732395,4472,0,0,0
Ag Geneina,West Darfur,13.36893823,22.41761413,790,0,0,0
Agig,Red Sea,17.86742609,38.01496584,99,0,0,0
Aj Jabalain,White Nile,12.71714202,32.94759122,691,0,0,0
Al Buhaira,River Nile,20.22634374,32.57707767,10,0,0,0
Al Buram,South Kordofan,10.58981773,29.94657052,0,0,0,0
Al Burgaig,Northern,19.55121883,30.61563979,50,0,0,0
Al Butanah,Gedaref,15.00933834,34.81585514,1135,0,0,0
Al Dibab,West Kordofan,10.32883749,28.57207277,8450,0,0,0
Al Fao,Gedaref,14.06431174,34.16932934,230,0,0,0
Al Fashaga,Gedaref,14.34778253,35.73636915,20,0,0,0
Al Fasher,North Darfur,13.81731875,25.37589184,100,0,0,0
Al Firdous,East Darfur,10.89654195,25.88267557,33750,0,0,0
Al Galabat Al Gharbyah - Kassab,Gedaref,13.35503024,35.36545129,16569,0,0,0
Al Ganab,Red Sea,19.32728183,35.03604464,5,0,0,0
Al Gitaina,White Nile,14.39625514,32.28511814,35,0,0,0
Al Golid,Northern,17.694802,28.75308507,5,0,0,0
Al Hasahisa,Aj Jazirah,14.81227066,32.92226997,10,0,0,0
Al Idia,West Kordofan,11.92549772,27.78646539,8276,0,0,0
Al Kamlin,Aj Jazirah,15.1443032,32.90660326,45,0,0,0
Al Khiwai,West Kordofan,13.34545559,29.03070488,439,0,0,0
Al Koma,North Darfur,14.12073817,27.25494064,165,0,0,0
Al Kurmuk,Blue Nile,10.39509187,34.01307159,15,0,0,0
Al Lagowa,West Kordofan,11.30462582,28.96671645,35,0,0,0
Al Lait,North Darfur,11.97348967,26.69982556,5763,0,0,0
Al Leri,South Kordofan,10.17316501,30.71394663,10,0,0,0
Al Mafaza,Gedaref,13.61028977,34.54461689,900,0,0,0
Al Malha,North Darfur,17.43470736,25.74755527,106246,0,0,0
Al Manaqil,Aj Jazirah,14.18056913,33.050891,15,0,0,0
Al Matama,River Nile,16.7004489,32.67959529,1858,0,0,0
Al Meiram,West Kordofan,10.32206875,27.80060989,8419,0,0,0
Al Quoz,South Kordofan,12.45575558,29.82893729,9455,0,0,0
Al Qurashi,Aj Jazirah,14.29321357,32.64319818,200,0,0,0
Al Qureisha,Gedaref,13.67477492,36.11640205,270,0,0,0
Al Radoum,South Darfur,9.73030339,24.20778467,248,0,0,0
Al Wihda,South Darfur,12.86938477,24.99357103,5509,0,0,0
An Nuhud,West Kordofan,13.1653683,28.49448028,63914,0,0,0
Ar Rahad,Gedaref,13.19351168,34.95179731,3705,0,0,0
Ar Rahad,North Kordofan,12.80944838,30.60023834,7421,0,0,0
Ar Rashad,South Kordofan,11.80824316,31.09875725,125,0,0,0
Ar Reif Ash Shargi,South Kordofan,11.18697351,29.93825193,45,0,0,0
Ar Rusayris,Blue Nile,12.16263365,34.59294113,7992,0,0,0
As Salam - SD,South Darfur,11.73599243,24.83571536,1025,0,0,0
As Salam - WK,West Kordofan,11.30422688,28.15790677,815,0,0,0
As Salam / Ar Rawat,White Nile,12.48053805,32.26000837,500,0,0,0
As Serief,North Darfur,13.96877577,23.71037077,7225,0,0,0
As Suki,Sennar,12.99252915,34.11198238,191,0,0,0
As Sunta,South Darfur,10.67858887,25.5651823,1700,0,0,0
As Sunut,West Kordofan,12.03967808,28.94810847,895,0,0,0
Assalaya,East Darfur,11.69619345,26.12809438,4579,0,0,0
At Tadamon - BN,Blue Nile,11.58397127,33.62429272,150,0,0,0
At Tadamon - SK,South Kordofan,12.17390683,31.65869961,1137,0,0,0
At Tawisha,North Darfur,12.46603666,26.59554161,5675,0,0,0
At Tina,North Darfur,15.05944256,23.04252188,8210,0,0,0
Atbara,River Nile,17.89335615,32.83218849,192,0,0,0
Azum,Central Darfur,12.94820543,23.06771412,11170,0,0,0
Babanusa,West Kordofan,11.37669896,27.68876925,54,0,0,0
Bahr Al Arab,East Darfur,10.41881794,26.70647191,811,0,0,0
Bahri,Khartoum,15.97564536,32.73688341,375,0,0,0
Bara,North Kordofan,14.0128696,31.27995757,2170,0,0,0
Barbar,River Nile,18.14300537,33.86300056,18,0,0,0
Basundah,Gedaref,12.92299022,35.82558416,1120,0,0,0
Baw,Blue Nile,11.16156286,33.77962309,2605,0,0,0
Beida,West Darfur,12.89395298,22.02779322,370,0,0,0
Beliel,South Darfur,11.91371625,25.10481059,459465,0,0,0
Bendasi,Central Darfur,12.05072231,22.93376976,35,0,0,0
Buram,South Darfur,10.76248716,25.06326702,3000,0,0,0
Damso,South Darfur,10.75486669,24.47288671,21,0,0,0
Dar As Salam,North Darfur,13.22982289,25.33650993,153278,0,0,0
Delami,South Kordofan,11.64742867,30.33728711,55,0,0,0
Delgo,Northern,20.09078069,28.67004542,70,0,0,0
Dilling,South Kordofan,11.95274992,29.45695817,5120,0,0,0
Dongola,Northern,19.23888355,29.73603278,10,0,0,0
Dordieb,Red Sea,17.49740601,35.81877295,855,0,0,0
Ed Al Fursan,South Darfur,11.71453242,24.34328464,250,0,0,0
Ed Damazine,Blue Nile,12.05101551,34.22714734,60,0,0,0
Foro Baranga,West Darfur,12.24445271,22.59958007,3700,0,0,0
Gala'a Al Nahal,Gedaref,13.35012006,35.04765972,6929,0,0,0
Galabat Ash-Shargiah,Gedaref,13.40982248,35.78553882,5755,0,0,0
Gebrat Al Sheikh,North Kordofan,15.36146577,30.92215663,5900,0,0,0
Geisan,Blue Nile,11.23807575,34.77365721,1360,0,0,0
Gereida,South Darfur,11.15298856,25.32206984,136547,0,0,0
Ghadeer,South Kordofan,10.64473428,31.03614206,370,0,0,0
Gharb Bara,North Kordofan,13.96048356,29.59981426,5,0,0,0
Gharb Jabal Marrah,Central Darfur,13.096936,24.01025057,7500,0,0,0
Ghubaish,West Kordofan,12.29260616,27.50961974,10847,0,0,0
Guli,White Nile,13.30365653,32.36404295,125,0,0,0
Habila - SK,South Kordofan,11.92675288,29.957442,13970,0,0,0
Habila - WD,West Darfur,12.60433399,22.54854338,85,0,0,0
Hala'ib,Red Sea,21.58748625,36.51704145,273,0,0,0
Halfa,Northern,21.40834952,28.69766157,90,0,0,0
Halfa Aj Jadeedah,Kassala,15.5637914,35.55710226,7949,0,0,0
Haya,Red Sea,17.97071507,35.34949509,10,0,0,0
Heiban,South Kordofan,11.14661037,30.46898903,0,0,0,0
Janub Al Jazirah,Aj Jazirah,14.09195335,33.46363502,10,0,0,0
Jebel Awlia,Khartoum,15.35549472,32.59018378,15,0,0,0
Jebel Moon,West Darfur,14.07850775,22.84489619,25,0,0,0
Jubayt Elma'aadin,Red Sea,21.15698242,34.91143159,196,0,0,0
Kadugli,South Kordofan,11.0888587,29.56462632,5,0,0,0
Karrari,Khartoum,16.02374634,32.33816726,2788,0,0,0
Kas,South Darfur,12.43907573,24.2082075,1900,0,0,0
Kateila,South Darfur,11.02328491,24.29271352,1489,0,0,0
Kebkabiya,North Darfur,13.61318589,24.17930205,1850,0,0,0
Keilak,West Kordofan,10.63256073,29.33505478,160,0,0,0
Kelemando,North Darfur,13.12410301,25.93858535,105,0,0,0
Kereneik,West Darfur,13.2915252,22.84201265,365,0,0,0
Kernoi,North Darfur,14.91051423,23.45755264,15,0,0,0
Khartoum,Khartoum,15.55208388,32.54686646,155,0,0,0
Kosti,White Nile,12.93081665,32.66218588,1279,0,0,0
Kubum,South Darfur,11.74151398,23.8802792,15,0,0,0
Kulbus,West Darfur,14.60767942,22.63647446,31082,0,0,0
Kutum,North Darfur,14.49143853,24.69140141,20,0,0,0
Madeinat Al Gedaref,Gedaref,14.02637517,35.36756142,1355,0,0,0
Madeinat Kassala,Kassala,15.43363808,36.37177473,3415,0,0,0
Medani Al Kubra,Aj Jazirah,14.32974208,33.63048568,100,0,0,0
Melit,North Darfur,14.20426227,26.19533112,45,0,0,0
Mershing,South Darfur,12.51638794,24.97931403,7875,0,0,0
Merwoe,Northern,18.37454422,31.93965688,2180,0,0,0
Mukjar,Central Darfur,11.81471546,23.39152148,28750,0,0,0
Nitega,South Darfur,12.60307735,25.29436258,14,0,0,0
Nyala Janoub,South Darfur,12.0208916,24.8262383,75139,0,0,0
Nyala Shimal,South Darfur,12.4342245,24.6836335,319917,0,0,0
Port Sudan,Red Sea,19.49478903,37.20486968,143,0,0,0
Rabak,White Nile,13.42819232,32.79350379,40,0,0,0
Rehaid Albirdi,South Darfur,10.99917305,23.4953078,252,0,0,0
Reifi Aroma,Kassala,15.73454684,35.96172382,805,0,0,0
Reifi Gharb Kassala,Kassala,15.29257853,36.1116699,324,0,0,0
Reifi Hamashkureib,Kassala,16.81306912,36.59431959,410,0,0,0
Reifi Kassla,Kassala,15.26208276,36.42809556,255,0,0,0
Reifi Khashm Elgirba,Kassala,15.58128244,34.93539359,2885,0,0,0
Reifi Nahr Atbara,Kassala,15.72388675,35.39765007,1090,0,0,0
Reifi Shamal Ad Delta,Kassala,16.58348843,35.96957676,300,0,0,0
Reifi Telkok,Kassala,16.15412479,36.63884292,970,0,0,0
Reifi Wad Elhilaiw,Kassala,14.60650203,36.19335101,550,0,0,0
Saraf Omra,North Darfur,13.64043122,23.28901653,5575,0,0,0
Sawakin,Red Sea,19.02627712,37.24023157,5,0,0,0
