id,operation,admin0Name,admin0Pcode,admin1Name,admin1Pcode,admin2Name,admin2Pcode,adminLevel,numPresentIdpInd,reportingDate,yearReportingDate,monthReportingDate,roundNumber,displacementReason,numberMales,numberFemales,idpOriginAdmin1Name,idpOriginAdmin1Pcode,assessmentType,operationStatus
,Darfur conflict,Sudan,SDN,,,,,0,10311,2010-06-30T00:00:00,2010,6,1,Conflict,,,Not available,Not available,BA,Active
,Darfur conflict,Sudan,SDN,,,,,0,32766,2011-02-28T00:00:00,2011,2,2,Conflict,,,Not available,Not available,BA,Active
,Darfur conflict,Sudan,SDN,,,,,0,89616,2011-03-30T00:00:00,2011,3,3,Conflict,,,Not available,Not available,BA,Active
,Darfur conflict,Sudan,SDN,,,,,0,402407,2011-09-30T00:00:00,2011,9,7,Conflict,,,Not available,Not available,BA,Active
,Darfur conflict,Sudan,SDN,,,,,0,465280,2011-10-30T00:00:00,2011,10,8,Conflict,,,Not available,Not available,BA,Active
,Darfur conflict,Sudan,SDN,,,,,0,516441,2011-11-30T00:00:00,2011,11,9,Conflict,,,Not available,Not available,BA,Active
,Darfur conflict,Sudan,SDN,,,,,0,563549,2011-12-31T00:00:00,2011,12,10,Conflict,,,Not available,Not available,BA,Active
,Darfur conflict,Sudan,SDN,,,,,0,628548,2012-01-31T00:00:00,2012,1,11,Conflict,,,Not available,Not available,BA,Active
,Darfur conflict,Sudan,SDN,,,,,0,674040,2012-02-28T00:00:00,2012,2,12,Conflict,,,Not available,Not available,BA,Active
,Darfur conflict,Sudan,SDN,,,,,0,701665,2012-03-30T00:00:00,2012,3,13,Conflict,,,Not available,Not available,BA,Active
,Darfur conflict,Sudan,SDN,,,,,0,736585,2012-05-30T00:00:00,2012,5,14,Conflict,,,Not available,Not available,BA,Active
,Darfur conflict,Sudan,SDN,,,,,0,771438,2012-06-30T00:00:00,2012,6,15,Conflict,,,Not available,Not available,BA,Active
,Darfur conflict,Sudan,SDN,,,,,0,853433,2012-07-30T00:00:00,2012,7,16,Conflict,,,Not available,Not available,BA,Active
,Darfur conflict,Sudan,SDN,,,,,0,1027065,2012-09-30T00:00:00,2012,9,17,Conflict,,,Not available,Not available,BA,Active
,Darfur conflict,Sudan,SDN,,,,,0,1063161,2013-01-31T00:00:00,2013,1,18,Conflict,,,Not available,Not available,BA,Active
,Darfur conflict,Sudan,SDN,,,,,0,1129046,2013-04-30T00:00:00,2013,4,19,Conflict,,,Not available,Not available,BA,Active
,Darfur conflict,Sudan,SDN,,,,,0,1133020,2013-05-30T00:00:00,2013,5,20,Conflict,,,Not available,Not available,BA,Active
,Darfur conflict,Sudan,SDN,,,,,0,1138842,2013-06-30T00:00:00,2013,6,21,Conflict,,,Not available,Not available,BA,Active
,Darfur conflict,Sudan,SDN,,,,,0,1142511,2013-07-30T00:00:00,2013,7,22,Conflict,,,Not available,Not available,BA,Active
,Darfur conflict,Sudan,SDN,,,,,0,1170121,2013-09-30T00:00:00,2013,9,23,Conflict,,,Not available,Not available,BA,Active
,Darfur conflict,Sudan,SDN,,,,,0,1179356,2013-11-30T00:00:00,2013,11,24,Conflict,,,Not available,Not available,BA,Active
